"","Gender","Poverty","Community","Rural","PTR","SCR","Dropout"
"71","Female","No","General","No","High","Medium",FALSE
"72","Female","Yes","General","Yes","Medium","Medium",FALSE
"73","Female","Yes","General","Yes","Low","High",FALSE
"74","Male","No","OBC","No","Medium","Low",FALSE
"75","Female","No","General","Yes","Medium","Medium",FALSE
"76","Male","No","OBC","No","Low","Medium",FALSE
"77","Female","No","General","Yes","High","High",FALSE
"78","Male","Yes","ST","Yes","High","High",TRUE
"79","Female","No","SC","No","Low","Low",FALSE
"80","Male","No","General","Yes","Medium","Medium",FALSE
"81","Male","No","OBC","Yes","High","High",TRUE
"82","Female","Yes","OBC","No","High","Medium",TRUE
"83","Male","No","OBC","Yes","High","Medium",FALSE
"84","Female","No","ST","Yes","Medium","Low",FALSE
"85","Male","Yes","OBC","No","Low","Low",FALSE
"86","Male","Yes","OBC","No","Low","High",TRUE
"87","Female","Yes","SC","Yes","Medium","Low",TRUE
"88","Female","Yes","SC","Yes","Low","Medium",TRUE
"89","Male","No","General","Yes","Medium","High",FALSE
"90","Female","No","OBC","No","Low","High",FALSE
"91","Male","No","ST","No","Low","Low",FALSE
"92","Male","No","General","Yes","Medium","Low",FALSE
"93","Female","No","OBC","Yes","Medium","High",TRUE
"94","Male","Yes","OBC","Yes","High","High",TRUE
"95","Female","No","General","No","High","Medium",FALSE
"96","Female","No","SC","No","Medium","Low",FALSE
"97","Female","Yes","General","No","High","High",TRUE
"98","Male","No","General","Yes","Medium","Medium",FALSE
"99","Male","No","OBC","No","High","Medium",FALSE
"100","Male","No","SC","No","High","High",TRUE
"101","Female","No","SC","Yes","Medium","High",TRUE
"102","Male","No","OBC","Yes","High","Medium",FALSE
"103","Female","No","OBC","Yes","High","Medium",FALSE
"104","Male","No","ST","Yes","High","High",TRUE
"105","Male","No","General","No","Medium","High",FALSE
"106","Male","No","OBC","Yes","High","Low",FALSE
"107","Male","No","ST","No","High","High",TRUE
"108","Male","No","ST","Yes","High","High",TRUE
"109","Male","No","SC","Yes","High","Medium",TRUE
"110","Female","Yes","General","Yes","High","Medium",TRUE
"111","Female","No","OBC","Yes","High","High",TRUE
"112","Male","No","ST","Yes","High","Medium",TRUE
"113","Male","Yes","OBC","No","Medium","Medium",FALSE
"114","Female","No","SC","Yes","High","Medium",TRUE
"115","Female","Yes","ST","Yes","Medium","Low",TRUE
"116","Female","No","OBC","Yes","Medium","High",TRUE
"117","Female","Yes","General","No","High","Medium",FALSE
"118","Male","No","OBC","Yes","High","High",TRUE
"119","Male","No","OBC","No","Medium","High",FALSE
"120","Female","No","General","Yes","High","Low",FALSE
"121","Female","No","ST","Yes","Medium","Low",FALSE
"122","Male","No","SC","No","High","High",TRUE
"123","Male","No","OBC","No","Medium","High",FALSE
"124","Male","Yes","General","Yes","Medium","Medium",FALSE
"125","Male","No","OBC","Yes","Medium","High",TRUE
"126","Female","No","General","Yes","High","High",FALSE
"127","Male","No","General","No","High","High",FALSE
"128","Female","No","OBC","Yes","High","High",TRUE
"129","Female","No","OBC","Yes","Medium","Medium",FALSE
"130","Female","Yes","OBC","Yes","High","Low",TRUE
"131","Male","No","OBC","No","High","High",FALSE
"132","Male","No","General","Yes","Medium","High",FALSE
"133","Female","No","General","No","High","High",FALSE
"134","Female","No","General","Yes","Low","High",FALSE
"135","Male","No","OBC","Yes","Medium","High",TRUE
"136","Female","No","General","Yes","Medium","Medium",FALSE
"137","Male","No","OBC","Yes","Medium","Medium",FALSE
"138","Male","No","SC","Yes","Medium","High",TRUE
"139","Male","No","ST","Yes","Low","High",TRUE
"140","Male","No","OBC","Yes","High","Medium",FALSE
"141","Male","Yes","SC","Yes","Medium","High",TRUE
"142","Female","No","OBC","No","High","High",FALSE
"143","Female","Yes","OBC","Yes","High","High",TRUE
"144","Male","Yes","OBC","Yes","Medium","High",TRUE
"145","Female","Yes","OBC","No","High","Low",TRUE
"146","Male","Yes","ST","Yes","Medium","Medium",TRUE
"147","Female","No","OBC","Yes","High","High",TRUE
"148","Male","No","SC","Yes","High","Medium",TRUE
"149","Male","Yes","ST","Yes","Medium","Low",TRUE
"150","Male","No","ST","Yes","Low","Medium",FALSE
"151","Male","No","OBC","Yes","High","High",TRUE
"152","Female","No","OBC","Yes","Medium","Low",FALSE
"153","Female","No","SC","Yes","Medium","Medium",FALSE
"154","Male","No","ST","Yes","Low","Low",FALSE
"155","Female","No","OBC","Yes","High","Medium",FALSE
"156","Male","No","OBC","Yes","Low","Low",FALSE
"157","Female","No","General","Yes","Medium","High",FALSE
"158","Female","No","OBC","Yes","High","High",TRUE
"159","Male","No","ST","Yes","High","Low",TRUE
"160","Female","Yes","OBC","Yes","Medium","High",TRUE
"161","Female","No","ST","No","High","Medium",FALSE
"162","Female","No","General","No","Medium","High",FALSE
"163","Female","Yes","OBC","Yes","High","Medium",TRUE
"164","Female","No","General","No","Low","Low",FALSE
"165","Male","No","SC","No","Medium","Medium",FALSE
"166","Male","Yes","General","Yes","High","High",TRUE
"167","Male","No","OBC","Yes","High","Medium",FALSE
"168","Male","No","General","Yes","High","Low",FALSE
"169","Female","No","OBC","Yes","Medium","High",TRUE
"170","Male","No","OBC","Yes","Medium","High",TRUE
"171","Male","No","General","Yes","Medium","High",FALSE
"172","Female","No","General","No","Medium","Medium",FALSE
"173","Male","No","SC","Yes","High","Low",TRUE
"174","Female","No","General","Yes","High","High",FALSE
"175","Male","No","General","Yes","Low","Low",FALSE
"176","Male","No","OBC","Yes","High","Low",FALSE
"177","Male","No","OBC","Yes","High","High",TRUE
"178","Male","No","General","No","Medium","High",FALSE
"179","Male","No","OBC","Yes","Medium","Medium",FALSE
"180","Female","No","ST","Yes","Medium","High",TRUE
"181","Male","Yes","SC","Yes","High","Medium",TRUE
"182","Male","No","General","No","High","High",FALSE
"183","Male","No","SC","No","Medium","High",FALSE
"184","Female","No","General","Yes","High","High",FALSE
"185","Female","No","SC","Yes","High","High",TRUE
"186","Male","No","OBC","Yes","Low","High",FALSE
"187","Male","No","OBC","No","High","Low",FALSE
"188","Female","No","ST","No","Medium","Medium",FALSE
"189","Female","Yes","General","No","High","High",TRUE
"190","Male","Yes","General","No","High","High",TRUE
"191","Female","No","SC","Yes","High","Medium",TRUE
"192","Female","No","SC","Yes","High","High",TRUE
"193","Male","No","General","Yes","High","Low",FALSE
"194","Male","No","ST","No","High","Medium",FALSE
"195","Male","Yes","General","Yes","Medium","High",TRUE
"196","Male","No","General","Yes","High","High",FALSE
"197","Female","Yes","OBC","No","Low","Medium",FALSE
"198","Female","No","General","Yes","Low","High",FALSE
"199","Female","No","ST","Yes","High","Medium",TRUE
"200","Male","Yes","SC","No","Low","High",TRUE
"201","Female","Yes","SC","No","High","Medium",TRUE
"202","Male","No","ST","No","Low","Medium",FALSE
"203","Male","Yes","OBC","Yes","High","High",TRUE
"204","Male","No","OBC","No","Medium","High",FALSE
"205","Male","No","OBC","Yes","High","Low",FALSE
"206","Male","No","SC","No","High","High",TRUE
"207","Male","No","ST","No","High","Medium",FALSE
"208","Female","No","OBC","Yes","Medium","High",TRUE
"209","Female","No","OBC","No","Low","Low",FALSE
"210","Male","No","OBC","Yes","Low","Low",FALSE
"211","Female","No","General","Yes","Low","High",FALSE
"212","Male","Yes","General","Yes","High","Low",FALSE
"213","Male","No","General","Yes","Medium","Medium",FALSE
"214","Female","No","General","No","Medium","Low",FALSE
"215","Female","No","SC","Yes","Low","Medium",FALSE
"216","Male","No","OBC","No","High","High",FALSE
"217","Female","No","SC","No","Medium","Medium",FALSE
"218","Female","No","General","Yes","High","High",FALSE
"219","Male","Yes","OBC","Yes","Medium","High",TRUE
"220","Male","No","ST","Yes","High","High",TRUE
"221","Male","Yes","SC","No","High","High",TRUE
"222","Male","No","General","Yes","Low","High",FALSE
"223","Male","Yes","OBC","Yes","High","Medium",TRUE
"224","Female","No","ST","Yes","Low","Low",FALSE
"225","Female","No","General","Yes","High","High",FALSE
"226","Female","No","OBC","Yes","High","Medium",FALSE
"227","Male","No","OBC","Yes","Low","Low",FALSE
"228","Male","No","OBC","Yes","High","High",TRUE
"229","Male","No","OBC","Yes","High","High",TRUE
"230","Male","Yes","ST","Yes","Medium","Medium",TRUE
"231","Female","No","OBC","Yes","High","Medium",FALSE
"232","Male","No","ST","Yes","High","High",TRUE
"233","Male","No","OBC","Yes","Medium","Low",FALSE
"234","Male","No","SC","Yes","High","Medium",TRUE
"235","Male","No","SC","Yes","High","Low",TRUE
"236","Male","No","OBC","Yes","Medium","High",TRUE
"237","Male","No","SC","No","Medium","Medium",FALSE
"238","Male","No","General","No","High","High",FALSE
"239","Female","No","General","Yes","Low","Medium",FALSE
"240","Female","No","General","No","High","Low",FALSE
"241","Female","Yes","OBC","Yes","Low","Medium",TRUE
"242","Male","No","General","Yes","Medium","High",FALSE
"243","Male","No","SC","Yes","Medium","Medium",FALSE
"244","Male","No","SC","Yes","High","High",TRUE
"245","Female","No","ST","Yes","Medium","High",TRUE
"246","Male","No","ST","No","Low","Medium",FALSE
"247","Female","No","General","Yes","Low","High",FALSE
"248","Male","No","OBC","Yes","High","Medium",FALSE
"249","Female","No","OBC","No","Medium","Medium",FALSE
"250","Male","Yes","OBC","Yes","Medium","Low",TRUE
"251","Female","No","OBC","Yes","Medium","Medium",FALSE
"252","Male","No","OBC","Yes","High","High",TRUE
"253","Male","No","ST","No","Low","High",FALSE
"254","Female","No","General","No","Medium","High",FALSE
"255","Male","Yes","General","Yes","Medium","Medium",FALSE
"256","Male","No","OBC","Yes","High","High",TRUE
"257","Female","No","OBC","Yes","Low","Medium",FALSE
"258","Male","No","OBC","Yes","High","High",TRUE
"259","Male","No","ST","Yes","High","High",TRUE
"260","Male","No","OBC","Yes","Medium","High",TRUE
"261","Female","No","ST","Yes","High","Low",TRUE
"262","Female","Yes","General","Yes","High","High",TRUE
"263","Female","No","OBC","No","High","High",FALSE
"264","Male","No","OBC","No","Medium","High",FALSE
"265","Female","No","General","Yes","Low","Low",FALSE
"266","Female","No","OBC","No","High","Medium",FALSE
"267","Female","No","SC","Yes","Medium","Medium",FALSE
"268","Female","No","OBC","Yes","Low","Medium",FALSE
"269","Male","No","ST","Yes","High","Medium",TRUE
"270","Male","No","OBC","Yes","Medium","High",TRUE
"271","Female","No","General","Yes","High","High",FALSE
"272","Female","Yes","ST","Yes","Medium","Medium",TRUE
"273","Male","No","General","Yes","Low","Medium",FALSE
"274","Male","No","OBC","Yes","Medium","Medium",FALSE
"275","Male","No","SC","Yes","Low","High",FALSE
"276","Male","No","General","No","Low","Low",FALSE
"277","Male","No","General","Yes","High","High",FALSE
"278","Female","No","General","Yes","Medium","Low",FALSE
"279","Male","No","General","Yes","Medium","Low",FALSE
"280","Male","Yes","OBC","Yes","Medium","Medium",TRUE
"281","Female","No","General","Yes","High","High",FALSE
"282","Male","No","SC","Yes","High","High",TRUE
"283","Female","No","SC","No","Medium","High",FALSE
"284","Male","No","OBC","Yes","High","High",TRUE
"285","Female","No","General","No","Medium","High",FALSE
"286","Female","No","SC","Yes","Medium","High",TRUE
"287","Male","No","SC","No","Medium","High",FALSE
"288","Male","No","General","No","High","High",FALSE
"289","Female","No","OBC","Yes","Medium","Medium",FALSE
"290","Female","No","OBC","No","Medium","High",FALSE
"291","Male","No","SC","Yes","Low","Medium",FALSE
"292","Female","No","ST","Yes","Low","High",TRUE
"293","Male","No","OBC","No","High","Medium",FALSE
"294","Female","No","OBC","Yes","Medium","Medium",FALSE
"295","Male","No","OBC","Yes","High","High",TRUE
"296","Female","No","SC","Yes","Medium","Medium",FALSE
"297","Male","No","OBC","No","Medium","High",FALSE
"298","Male","No","General","Yes","Low","High",FALSE
"299","Female","No","SC","Yes","High","Low",TRUE
"300","Male","No","SC","Yes","Low","High",FALSE
"301","Female","No","OBC","Yes","High","High",TRUE
"302","Male","Yes","OBC","Yes","Medium","Medium",TRUE
"303","Female","No","General","Yes","Medium","Medium",FALSE
"304","Male","No","OBC","Yes","Medium","Medium",FALSE
"305","Male","No","SC","No","High","High",TRUE
"306","Male","Yes","SC","Yes","Medium","High",TRUE
"307","Female","No","General","No","Medium","High",FALSE
"308","Female","Yes","General","Yes","Low","Low",FALSE
"309","Female","No","OBC","Yes","Medium","Low",FALSE
"310","Female","No","OBC","Yes","High","Medium",FALSE
"311","Female","No","OBC","Yes","Medium","High",TRUE
"312","Female","No","OBC","No","High","High",FALSE
"313","Male","No","General","Yes","Medium","High",FALSE
"314","Female","No","General","Yes","High","High",FALSE
"315","Female","No","SC","No","High","Medium",FALSE
"316","Male","No","General","Yes","Medium","High",FALSE
"317","Male","No","OBC","Yes","Medium","High",TRUE
"318","Male","Yes","SC","Yes","Low","High",TRUE
"319","Male","Yes","General","Yes","Low","High",FALSE
"320","Male","No","General","Yes","Medium","High",FALSE
"321","Female","No","SC","Yes","High","Medium",TRUE
"322","Male","No","General","Yes","Low","Low",FALSE
"323","Female","No","General","No","High","High",FALSE
"324","Male","No","General","No","Low","Medium",FALSE
"325","Male","No","General","No","High","Low",FALSE
"326","Male","No","General","Yes","Medium","High",FALSE
"327","Male","No","SC","Yes","Medium","Low",FALSE
"328","Male","No","ST","No","High","Medium",FALSE
"329","Male","No","OBC","Yes","Low","High",FALSE
"330","Male","No","OBC","Yes","High","High",TRUE
"331","Male","Yes","General","No","Medium","Medium",FALSE
"332","Female","No","SC","Yes","Low","High",FALSE
"333","Female","No","OBC","Yes","Medium","High",TRUE
"334","Female","Yes","OBC","Yes","Low","High",TRUE
"335","Male","No","OBC","No","High","Medium",FALSE
"336","Female","No","OBC","Yes","High","Medium",FALSE
"337","Female","Yes","OBC","Yes","Medium","Medium",TRUE
"338","Female","No","ST","Yes","High","Medium",TRUE
"339","Male","No","General","No","High","Medium",FALSE
"340","Male","No","General","Yes","Medium","High",FALSE
"341","Male","Yes","OBC","Yes","High","High",TRUE
"342","Male","No","SC","Yes","High","Low",TRUE
"343","Female","No","General","No","Low","High",FALSE
"344","Male","No","OBC","Yes","Medium","Low",FALSE
"345","Female","Yes","OBC","Yes","High","Low",TRUE
"346","Male","No","OBC","No","Low","High",FALSE
"347","Male","Yes","General","Yes","High","High",TRUE
"348","Male","No","OBC","Yes","Low","Medium",FALSE
"349","Male","No","SC","Yes","High","High",TRUE
"350","Male","Yes","General","Yes","Medium","Medium",FALSE
"351","Male","No","OBC","Yes","High","High",TRUE
"352","Female","No","General","No","Low","High",FALSE
"353","Female","No","SC","No","Medium","High",FALSE
"354","Female","No","SC","Yes","Medium","Medium",FALSE
"355","Male","Yes","General","Yes","Medium","Medium",FALSE
"356","Female","No","ST","Yes","High","High",TRUE
"357","Female","No","OBC","Yes","High","High",TRUE
"358","Female","No","OBC","No","High","High",FALSE
"359","Male","No","General","Yes","Medium","High",FALSE
"360","Male","No","SC","No","Medium","Low",FALSE
"361","Female","Yes","ST","No","Low","High",TRUE
"362","Male","No","SC","Yes","Low","Medium",FALSE
"363","Female","No","OBC","Yes","Medium","Medium",FALSE
"364","Male","Yes","SC","No","High","Medium",TRUE
"365","Female","Yes","General","Yes","High","High",TRUE
"366","Male","No","General","Yes","High","High",FALSE
"367","Female","No","SC","Yes","Medium","High",TRUE
"368","Male","No","General","No","High","High",FALSE
"369","Female","No","General","Yes","Low","High",FALSE
"370","Female","Yes","General","Yes","Medium","High",TRUE
"371","Male","No","OBC","No","High","Medium",FALSE
"372","Female","No","OBC","Yes","High","High",TRUE
"373","Male","No","OBC","Yes","Low","Medium",FALSE
"374","Male","No","General","Yes","Low","Medium",FALSE
"375","Female","Yes","General","Yes","High","High",TRUE
"376","Female","No","OBC","No","Medium","High",FALSE
"377","Male","Yes","SC","No","Low","Low",FALSE
"378","Male","No","OBC","Yes","Medium","Low",FALSE
"379","Female","No","OBC","Yes","High","Low",FALSE
"380","Male","No","General","Yes","Medium","High",FALSE
"381","Male","No","SC","Yes","High","High",TRUE
"382","Male","Yes","OBC","No","High","Medium",TRUE
"383","Female","No","OBC","Yes","Medium","Low",FALSE
"384","Female","No","OBC","Yes","Medium","Medium",FALSE
"385","Female","No","OBC","Yes","High","Medium",FALSE
"386","Female","No","SC","No","Medium","Medium",FALSE
"387","Male","Yes","General","Yes","High","High",TRUE
"388","Male","Yes","OBC","Yes","Medium","Low",TRUE
"389","Female","Yes","General","No","Medium","High",FALSE
"390","Male","No","OBC","Yes","High","High",TRUE
"391","Male","No","General","Yes","Medium","High",FALSE
"392","Male","No","OBC","Yes","High","Medium",FALSE
"393","Male","No","ST","Yes","Low","Low",FALSE
"394","Female","No","OBC","Yes","High","High",TRUE
"395","Male","Yes","General","No","Medium","Medium",FALSE
"396","Female","No","ST","No","High","Low",FALSE
"397","Female","No","ST","No","Medium","High",TRUE
"398","Female","No","OBC","Yes","High","High",TRUE
"399","Female","No","General","Yes","High","High",FALSE
"400","Female","No","OBC","Yes","Low","Medium",FALSE
"401","Female","Yes","SC","No","Medium","Low",TRUE
"402","Female","Yes","General","No","Medium","Low",FALSE
"403","Male","No","OBC","Yes","High","Medium",FALSE
"404","Female","No","General","Yes","High","Low",FALSE
"405","Female","No","OBC","No","Medium","Medium",FALSE
"406","Male","Yes","OBC","No","Low","Medium",FALSE
"407","Female","No","OBC","Yes","High","High",TRUE
"408","Male","No","General","Yes","Low","Low",FALSE
"409","Male","No","General","No","High","Medium",FALSE
"410","Female","No","ST","No","Medium","High",TRUE
"411","Male","No","General","No","Medium","Medium",FALSE
"412","Female","No","General","Yes","High","Medium",FALSE
"413","Male","No","SC","Yes","Low","High",FALSE
"414","Male","No","General","No","High","High",FALSE
"415","Female","No","General","Yes","Medium","Medium",FALSE
"416","Male","No","OBC","Yes","High","Low",FALSE
"417","Male","Yes","ST","No","Low","Medium",FALSE
"418","Male","No","General","Yes","High","Low",FALSE
"419","Male","No","OBC","Yes","Low","Medium",FALSE
"420","Male","No","General","Yes","Medium","High",FALSE
"421","Female","No","General","No","High","Medium",FALSE
"422","Female","No","OBC","No","Medium","Medium",FALSE
"423","Male","No","ST","Yes","High","High",TRUE
"424","Female","Yes","SC","No","High","High",TRUE
"425","Male","No","OBC","Yes","Medium","High",TRUE
"426","Female","Yes","OBC","Yes","High","Medium",TRUE
"427","Male","No","OBC","Yes","Medium","High",TRUE
"428","Female","Yes","OBC","Yes","Low","High",TRUE
"429","Female","No","General","Yes","High","High",FALSE
"430","Female","No","General","Yes","High","Medium",FALSE
"431","Male","No","OBC","No","Low","High",FALSE
"432","Female","No","OBC","Yes","High","High",TRUE
"433","Male","Yes","OBC","Yes","High","High",TRUE
"434","Female","Yes","ST","No","High","High",TRUE
"435","Male","Yes","OBC","Yes","Medium","High",TRUE
"436","Female","No","ST","No","High","High",TRUE
"437","Female","Yes","General","Yes","High","High",TRUE
"438","Female","Yes","OBC","Yes","Medium","High",TRUE
"439","Female","Yes","SC","Yes","Medium","High",TRUE
"440","Male","Yes","General","Yes","High","High",TRUE
"441","Female","No","OBC","Yes","High","Low",FALSE
"442","Male","No","General","Yes","Low","High",FALSE
"443","Female","No","OBC","Yes","High","Medium",FALSE
"444","Male","Yes","General","Yes","High","Low",FALSE
"445","Male","No","General","Yes","Medium","Medium",FALSE
"446","Female","Yes","OBC","No","High","Low",TRUE
"447","Female","No","General","Yes","Low","High",FALSE
"448","Male","No","General","Yes","High","Medium",FALSE
"449","Female","No","ST","Yes","High","High",TRUE
"450","Male","No","ST","No","High","High",TRUE
"451","Female","No","OBC","Yes","High","High",TRUE
"452","Female","Yes","SC","No","High","High",TRUE
"453","Female","Yes","General","Yes","High","High",TRUE
"454","Male","No","General","Yes","Medium","High",FALSE
"455","Female","Yes","OBC","Yes","High","High",TRUE
"456","Female","No","General","No","High","Medium",FALSE
"457","Male","No","General","No","Medium","High",FALSE
"458","Female","No","OBC","No","Low","Medium",FALSE
"459","Male","No","SC","Yes","Medium","High",TRUE
"460","Male","No","OBC","Yes","High","High",TRUE
"461","Female","No","General","Yes","Medium","Medium",FALSE
"462","Female","Yes","OBC","No","Low","Medium",FALSE
"463","Female","No","OBC","No","High","Medium",FALSE
"464","Male","No","General","Yes","High","High",FALSE
"465","Female","No","SC","No","High","Low",FALSE
"466","Male","No","OBC","Yes","High","High",TRUE
"467","Male","Yes","General","Yes","Low","High",FALSE
"468","Female","No","General","Yes","Medium","Medium",FALSE
"469","Male","No","ST","Yes","High","Medium",TRUE
"470","Female","No","SC","Yes","High","Medium",TRUE
"471","Male","No","SC","Yes","High","High",TRUE
"472","Male","Yes","OBC","Yes","Medium","Low",TRUE
"473","Male","No","OBC","Yes","High","Low",FALSE
"474","Female","No","OBC","Yes","High","High",TRUE
"475","Female","Yes","OBC","No","High","High",TRUE
"476","Male","Yes","OBC","Yes","Low","Low",FALSE
"477","Female","No","General","No","High","Low",FALSE
"478","Male","No","General","Yes","Medium","High",FALSE
"479","Male","No","General","No","High","Medium",FALSE
"480","Male","Yes","OBC","Yes","Medium","Low",TRUE
"481","Male","Yes","OBC","Yes","High","High",TRUE
"482","Female","No","General","Yes","High","Medium",FALSE
"483","Male","Yes","OBC","Yes","Low","High",TRUE
"484","Female","No","OBC","Yes","Medium","High",TRUE
"485","Female","No","ST","Yes","Medium","High",TRUE
"486","Male","No","OBC","Yes","High","Low",FALSE
"487","Male","No","General","No","High","Medium",FALSE
"488","Male","No","General","Yes","High","Low",FALSE
"489","Male","No","General","No","Medium","High",FALSE
"490","Female","No","OBC","Yes","Low","High",FALSE
"491","Female","Yes","OBC","Yes","High","High",TRUE
"492","Male","No","General","Yes","High","High",FALSE
"493","Male","No","ST","Yes","Medium","Medium",FALSE
"494","Female","No","SC","Yes","High","Medium",TRUE
"495","Female","No","General","Yes","High","Low",FALSE
"496","Male","No","SC","Yes","High","High",TRUE
"497","Female","Yes","General","Yes","High","High",TRUE
"498","Female","No","OBC","No","Medium","Medium",FALSE
"499","Male","Yes","SC","Yes","Medium","High",TRUE
"500","Female","No","SC","Yes","High","Medium",TRUE
"501","Female","No","General","No","High","Low",FALSE
"502","Male","No","OBC","Yes","Medium","High",TRUE
"503","Female","No","OBC","No","High","Medium",FALSE
"504","Male","Yes","OBC","Yes","High","High",TRUE
"505","Male","No","General","Yes","Medium","Medium",FALSE
"506","Female","Yes","SC","Yes","High","High",TRUE
"507","Female","Yes","OBC","Yes","Medium","High",TRUE
"508","Male","No","General","Yes","Low","High",FALSE
"509","Female","No","General","No","Medium","Medium",FALSE
"510","Female","No","OBC","No","High","Low",FALSE
"511","Female","No","SC","No","High","High",TRUE
"512","Male","No","General","Yes","High","High",FALSE
"513","Female","No","General","Yes","High","Medium",FALSE
"514","Female","No","General","Yes","Medium","Medium",FALSE
"515","Female","Yes","SC","Yes","Low","High",TRUE
"516","Female","No","SC","Yes","Medium","Medium",FALSE
"517","Female","Yes","General","No","Low","High",FALSE
"518","Male","No","OBC","No","High","Medium",FALSE
"519","Male","No","OBC","No","High","Medium",FALSE
"520","Male","No","OBC","No","High","Low",FALSE
"521","Male","No","ST","Yes","High","High",TRUE
"522","Female","Yes","General","Yes","Medium","High",TRUE
"523","Male","No","OBC","Yes","High","Medium",FALSE
"524","Male","No","General","Yes","High","High",FALSE
"525","Female","No","OBC","Yes","Low","High",FALSE
"526","Male","No","General","Yes","Low","Medium",FALSE
"527","Male","No","SC","No","High","Medium",FALSE
"528","Female","No","OBC","Yes","High","Low",FALSE
"529","Female","No","General","Yes","High","Medium",FALSE
"530","Male","Yes","OBC","Yes","High","Medium",TRUE
"531","Female","No","OBC","Yes","High","Medium",FALSE
"532","Female","No","General","Yes","Low","High",FALSE
"533","Female","No","General","Yes","High","High",FALSE
"534","Female","No","General","Yes","High","Medium",FALSE
"535","Female","No","SC","Yes","High","High",TRUE
"536","Female","No","General","Yes","High","High",FALSE
"537","Male","No","General","Yes","High","High",FALSE
"538","Male","No","OBC","Yes","Medium","High",TRUE
"539","Female","Yes","General","No","High","Medium",FALSE
"540","Male","No","OBC","Yes","High","Medium",FALSE
"541","Female","No","General","Yes","High","High",FALSE
"542","Male","No","ST","Yes","High","High",TRUE
"543","Male","Yes","ST","No","Medium","High",TRUE
"544","Male","Yes","ST","Yes","High","High",TRUE
"545","Male","Yes","OBC","No","Medium","Medium",FALSE
"546","Female","Yes","General","Yes","High","High",TRUE
